date,C43RO_cmd,C43RO
12/30/2007,0,0
12/31/2007,53824.662,21.99999999
1/1/2008,0,0
1/2/2008,0,0
1/3/2008,0,0
1/4/2008,0,0
1/5/2008,56271.14496,22.99996215
1/6/2008,195725.7216,79.99986835
1/7/2008,20551.20077,8.399986176
1/8/2008,0,0
1/9/2008,39145.14432,15.99997367
1/10/2008,0,0
1/11/2008,0,0
1/12/2008,0,0
1/13/2008,0,0
1/14/2008,0,0
1/15/2008,0,0
1/16/2008,0,0
1/17/2008,0,0
1/18/2008,0,0
1/19/2008,234870.8659,95.99984202
1/20/2008,0,0
1/21/2008,0,0
1/22/2008,303374.8685,123.9997959
1/23/2008,303374.8685,123.9997959
1/24/2008,156580.5773,63.99989468
1/25/2008,1304022.62,532.9991229
1/26/2008,2612938.383,1067.998242
1/27/2008,675253.7395,275.9995458
1/28/2008,92969.71776,37.99993746
1/29/2008,0,0
1/30/2008,0,0
1/31/2008,0,0
2/1/2008,0,0
2/2/2008,0,0
2/3/2008,308268.0115,125.9997926
2/4/2008,0,0
2/5/2008,0,0
2/6/2008,0,0
2/7/2008,0,0
2/8/2008,0,0
2/9/2008,0,0
2/10/2008,0,0
2/11/2008,0,0
2/12/2008,244657.152,99.99983543
2/13/2008,763330.3142,311.9994866
2/14/2008,733971.456,299.9995063
2/15/2008,2062459.791,842.9986127
2/16/2008,1118083.185,456.9992479
2/17/2008,1047132.611,427.9992957
2/18/2008,966395.7504,394.99935
2/19/2008,430596.5875,175.9997104
2/20/2008,283802.2963,115.9998091
2/21/2008,176153.1494,71.99988151
2/22/2008,489314.304,199.9996709
2/23/2008,954162.8928,389.9993582
2/24/2008,780456.3149,318.999475
2/25/2008,371878.871,151.9997499
2/26/2008,479528.0179,195.9996774
2/27/2008,371878.871,151.9997499
2/28/2008,0,0
2/29/2008,0,0
3/1/2008,234870.8659,95.99984202
3/2/2008,166366.8634,67.99988809
3/3/2008,97862.8608,39.99993417
3/4/2008,244657.152,99.99983543
3/5/2008,78290.28864,31.99994734
3/6/2008,0,0
3/7/2008,0,0
3/8/2008,0,0
3/9/2008,469741.7318,191.999684
3/10/2008,506440.3046,206.9996593
3/11/2008,560264.8781,228.9996231
3/12/2008,357199.4419,145.9997597
3/13/2008,694826.3117,283.9995326
3/14/2008,0,0
3/15/2008,352306.2989,143.999763
3/16/2008,562711.4496,229.9996215
3/17/2008,337626.8698,137.9997729
3/18/2008,225084.5798,91.9998486
3/19/2008,0,0
3/20/2008,68504.00256,27.99995392
3/21/2008,0,0
3/22/2008,0,0
3/23/2008,0,0
3/24/2008,0,0
3/25/2008,0,0
3/26/2008,46484.85888,18.99996873
3/27/2008,254443.4381,103.9998289
3/28/2008,234870.8659,95.99984202
3/29/2008,234870.8659,95.99984202
3/30/2008,229977.7229,93.99984531
3/31/2008,185939.4355,75.99987493
4/1/2008,181046.2925,73.99987822
4/2/2008,161473.7203,65.99989139
4/3/2008,971288.8934,396.9993467
4/4/2008,562711.4496,229.9996215
4/5/2008,210405.1507,85.99985847
4/6/2008,210405.1507,85.99985847
4/7/2008,2099158.364,857.998588
4/8/2008,3121825.26,1275.9979
4/9/2008,1548679.772,632.9989583
4/10/2008,2568900.096,1049.998272
4/11/2008,1825142.354,745.9987723
4/12/2008,1617183.775,660.9989122
4/13/2008,1078938.04,440.9992743
4/14/2008,1047132.611,427.9992957
4/15/2008,435489.7306,177.9997071
4/16/2008,44038.28736,17.99997038
4/17/2008,0,0
4/18/2008,0,0
4/19/2008,0,0
4/20/2008,0,0
4/21/2008,0,0
4/22/2008,0,0
4/23/2008,0,0
4/24/2008,0,0
4/25/2008,0,0
4/26/2008,0,0
4/27/2008,0,0
4/28/2008,0,0
4/29/2008,0,0
4/30/2008,0,0
5/1/2008,0,0
5/2/2008,0,0
5/3/2008,0,0
5/4/2008,0,0
5/5/2008,0,0
5/6/2008,0,0
5/7/2008,0,0
5/8/2008,0,0
5/9/2008,0,0
5/10/2008,0,0
5/11/2008,0,0
5/12/2008,0,0
5/13/2008,851406.889,347.9994273
5/14/2008,0,0
5/15/2008,0,0
5/16/2008,0,0
5/17/2008,0,0
5/18/2008,0,0
5/19/2008,0,0
5/20/2008,0,0
5/21/2008,0,0
5/22/2008,0,0
5/23/2008,0,0
5/24/2008,0,0
5/25/2008,0,0
5/26/2008,0,0
5/27/2008,0,0
5/28/2008,0,0
5/29/2008,0,0
5/30/2008,0,0
5/31/2008,0,0
6/1/2008,0,0
6/2/2008,0,0
6/3/2008,0,0
6/4/2008,0,0
6/5/2008,0,0
6/6/2008,0,0
6/7/2008,0,0
6/8/2008,0,0
6/9/2008,34252.00128,13.99997696
