date,S65_Q,S71_Q,S72_Q,S84_Q,S127_C_Q,S127_P_Q,S129_C_Q,S129_P_Q,S133_P_Q,S135_C_Q,S135_P_Q,S154_Q,S191_Q,S308_Q,S351_Q,S352_Q,S354_Q,FISHP_Q,L8_Q,S2_P_Q,S3_P_Q,S4_P_Q,S77_Q,INDUST_Q,S127_In,S129_In,S135_In,S308_In,S77_In,S351_In,S352_In,S354_In,L8_In,S308_Out,S77_Out,INDUST_Out,S351_Out,S352_Out,S354_Out,L8_Out,Inflows,Netflows,Outflows
2008-01-01,454451.40771408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-137008.23058944,0.0,0.0,0.0,31805.48210112,15168.768386688,0.0,0.0,0.0,0.0,95416.28928,0.0,0.0,0.0,137008.23058944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95416.28928,0.0,0.0,0.0,15168.768386688,623265.1204046401,527848.8311246401,110585.057666688
2008-01-02,609808.95490032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-124775.35285824,0.0,0.0,0.0,31805.48210112,-39145.20873984,0.0,0.0,0.0,234870.86592,161473.72032,0.0,0.0,0.0,124775.35285824,0.0,0.0,0.0,0.0,39145.20873984,0.0,234870.86592,161473.72032,0.0,0.0,0.0,0.0,805534.9985995201,644061.2782795201,396344.58624
2008-01-03,419636.637691085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36698.6331936,0.0,0.0,0.0,29358.90655488,-34252.05764736,0.0,0.0,0.0,1037346.32448,232424.2944,0.0,0.0,0.0,36698.6331936,0.0,0.0,0.0,0.0,34252.05764736,0.0,1037346.32448,232424.2944,0.0,0.0,0.0,0.0,519946.235086925,287521.94068692497,1269770.61888
2008-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107649.32403456,0.0,0.0,0.0,26912.33100864,-31805.48210112,0.0,0.0,0.0,518673.16224,105202.57536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31805.48210112,107649.32403456,518673.16224,105202.57536,0.0,0.0,0.0,0.0,58717.81310976,-46484.762250240005,731525.06163456
2008-01-05,153106.697683699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23487.125243904,0.0,0.0,0.0,26912.33100864,-29358.90655488,0.0,0.0,0.0,-56271.14496,-23731.743744,0.0,0.0,0.0,0.0,56271.14496,0.0,0.0,0.0,29358.90655488,23487.125243904,0.0,0.0,0.0,0.0,0.0,0.0,265649.080207219,265649.080207219,23487.125243904
2008-01-06,257746.733796384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-129668.50395072,0.0,0.0,0.0,24465.7554624,-24465.7554624,0.0,0.0,0.0,-195725.7216,-11009.57184,0.0,0.0,0.0,129668.50395072,195725.7216,0.0,0.0,0.0,24465.7554624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632072.470271904,632072.470271904,0.0
2008-01-07,219188.703187642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124775.35285824,0.0,0.0,0.0,24221.097907776,-36698.6331936,0.0,0.0,0.0,-20551.200768,61164.288,0.0,0.0,0.0,0.0,20551.200768,0.0,0.0,0.0,36698.6331936,124775.35285824,0.0,61164.288,0.0,0.0,0.0,0.0,300659.635057018,239495.34705701802,185939.64085824002
2008-01-08,665052.630734419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362093.18084352,0.0,0.0,0.0,22997.810134656,-24465.7554624,0.0,0.0,0.0,274016.01024,212851.72224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24465.7554624,362093.18084352,274016.01024,212851.72224,0.0,0.0,0.0,0.0,712516.196331475,499664.474091475,848960.91332352
2008-01-09,393874.197189178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320501.39655744,0.0,0.0,0.0,22019.17991616,-20061.919479168,0.0,0.0,0.0,-39145.14432,178599.72096,0.0,0.0,0.0,0.0,39145.14432,0.0,0.0,0.0,20061.919479168,320501.39655744,0.0,178599.72096,0.0,0.0,0.0,0.0,475100.4409045061,296500.71994450607,499101.11751744
2008-01-10,405544.362544742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357200.02975104,0.0,0.0,0.0,21285.207252288,-22753.152580032,0.0,0.0,0.0,0.0,149240.86272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22753.152580032,357200.02975104,0.0,149240.86272,0.0,0.0,0.0,0.0,449582.722377062,300341.859657062,506440.89247104
2008-01-11,363022.879551091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83183.56857216,0.0,0.0,0.0,20551.234588416,-19817.261924544,0.0,0.0,0.0,0.0,156580.57728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19817.261924544,83183.56857216,0.0,156580.57728,0.0,0.0,0.0,0.0,403391.376064051,246810.798784051,239764.14585216
2008-01-12,518820.810335654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-114989.05067328,0.0,0.0,0.0,19817.261924544,-15658.083495936,0.0,0.0,0.0,0.0,-26912.28672,0.0,0.0,0.0,114989.05067328,0.0,0.0,0.0,0.0,15658.083495936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,669285.206429414,669285.206429414,0.0
2008-01-13,293295.476483251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-227531.52580032,0.0,0.0,0.0,19572.60436992,-31805.48210112,0.0,0.0,0.0,0.0,-36698.5728,0.0,0.0,0.0,227531.52580032,0.0,0.0,0.0,0.0,31805.48210112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,572205.0887546111,572205.0887546111,0.0
2008-01-14,309760.929909446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-423257.56949952,0.0,0.0,0.0,18838.631706048,-19327.946815296,0.0,0.0,46925.3189768832,39145.14432,36698.5728,0.0,0.0,0.0,423257.56949952,0.0,0.0,0.0,0.0,19327.946815296,0.0,39145.14432,36698.5728,0.0,0.0,0.0,0.0,818110.3969071931,781411.8241071932,75843.71712
2008-01-15,311718.190346438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-217745.22361536,0.0,0.0,0.0,18104.659042176,-17370.686378304,0.0,0.0,0.0,0.0,119882.00448,0.0,0.0,0.0,217745.22361536,0.0,0.0,0.0,0.0,17370.686378304,0.0,0.0,119882.00448,0.0,0.0,0.0,0.0,564938.759382278,445056.75490227796,119882.00448
2008-01-16,301785.093628704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31805.48210112,0.0,0.0,0.0,17370.686378304,-26912.33100864,0.0,0.0,0.0,411024.01536,198172.29312,0.0,0.0,0.0,31805.48210112,0.0,0.0,0.0,0.0,26912.33100864,0.0,411024.01536,198172.29312,0.0,0.0,0.0,0.0,377873.593116768,179701.299996768,609196.30848
2008-01-17,294323.038212672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46484.93537856,0.0,0.0,0.0,17370.686378304,-22263.837470784,0.0,0.0,0.0,215298.29376,168813.43488,0.0,0.0,0.0,46484.93537856,0.0,0.0,0.0,0.0,22263.837470784,0.0,215298.29376,168813.43488,0.0,0.0,0.0,0.0,380442.49744032,211629.06256032,384111.72864
2008-01-18,218650.456567469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-320501.39655744,0.0,0.0,0.0,17615.343932928,-34252.05764736,0.0,0.0,0.0,107649.14688,48931.4304,0.0,0.0,0.0,320501.39655744,0.0,0.0,0.0,0.0,34252.05764736,0.0,107649.14688,48931.4304,0.0,0.0,0.0,0.0,591019.2547051971,542087.8243051971,156580.57728
2008-01-19,426584.912242406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-207958.9214304,0.0,0.0,0.0,17615.343932928,-73397.2663872,0.0,0.0,0.0,-234870.86592,-53824.57344,0.0,0.0,0.0,207958.9214304,234870.86592,0.0,0.0,0.0,73397.2663872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960427.309912934,960427.309912934,0.0
2008-01-20,505193.384543098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-951717.88748736,0.0,0.0,0.0,19083.289260672,-36698.6331936,0.0,0.0,0.0,342520.0128,-73397.1456,0.0,0.0,0.0,951717.88748736,0.0,0.0,0.0,0.0,36698.6331936,0.0,342520.0128,0.0,0.0,0.0,0.0,0.0,1512693.19448473,1512693.19448473,342520.0128
2008-01-21,523395.906607123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-626323.33983744,0.0,0.0,0.0,19327.946815296,-36698.6331936,0.0,0.0,0.0,68504.00256,-251996.86656,0.0,0.0,0.0,626323.33983744,0.0,0.0,0.0,0.0,36698.6331936,0.0,68504.00256,0.0,0.0,0.0,0.0,0.0,1205745.826453459,1205745.826453459,68504.00256
2008-01-22,293686.92857065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254443.85680896,0.0,0.0,0.0,19083.289260672,-17615.343932928,0.0,0.0,93997.4324865408,-303374.86848,-80736.86016,0.0,0.0,0.0,0.0,303374.86848,0.0,0.0,0.0,17615.343932928,254443.85680896,0.0,0.0,0.0,0.0,0.0,0.0,727757.8627307909,727757.8627307909,254443.85680896
2008-01-23,322213.999439808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-97863.0218496,0.0,0.0,0.0,18593.974151424,-24465.7554624,0.0,0.0,0.0,-303374.86848,-46484.85888,0.0,0.0,0.0,97863.0218496,303374.86848,0.0,0.0,0.0,24465.7554624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,766511.6193832321,766511.6193832321,0.0
2008-01-24,494281.657606867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-119882.20176576,0.0,0.0,0.0,18349.3165968,-19083.289260672,0.0,0.0,0.0,-156580.57728,-36698.5728,0.0,0.0,0.0,119882.20176576,156580.57728,0.0,0.0,0.0,19083.289260672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,808177.0425100991,808177.0425100991,0.0
2008-01-25,393507.210857242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-477082.2315168,0.0,0.0,0.0,17860.001487552,-19572.60436992,0.0,0.0,0.0,313161.15456,-39145.14432,0.0,0.0,0.0,477082.2315168,0.0,0.0,0.0,0.0,19572.60436992,0.0,313161.15456,0.0,0.0,0.0,0.0,0.0,908022.0482315139,908022.0482315139,313161.15456
2008-01-26,280132.90004448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-168813.71269056,0.0,0.0,0.0,17370.686378304,-12722.192840448,0.0,0.0,0.0,-362092.58496,-34252.00128,0.0,0.0,0.0,168813.71269056,362092.58496,0.0,0.0,0.0,12722.192840448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,841132.076913792,841132.076913792,0.0
2008-01-27,272646.378872986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-254443.85680896,0.0,0.0,0.0,16881.371269056,-19817.261924544,0.0,0.0,0.0,-97862.8608,-15658.057728,0.0,0.0,0.0,254443.85680896,97862.8608,0.0,0.0,0.0,19817.261924544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,661651.729675546,661651.729675546,0.0
2008-01-28,274407.913266278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-237317.82798528,0.0,0.0,0.0,16147.398605184,11498.905067328,0.0,0.0,0.0,-92969.71776,36698.5728,0.0,0.0,0.0,237317.82798528,92969.71776,0.0,0.0,0.0,0.0,0.0,0.0,36698.5728,0.0,0.0,0.0,11498.905067328,620842.857616742,584144.2848167421,48197.477867328
2008-01-29,212656.346479181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-183493.165968,0.0,0.0,0.0,15413.425941312,58717.81310976,0.0,0.0,0.0,264229.72416,117435.43296,0.0,0.0,0.0,183493.165968,0.0,0.0,0.0,0.0,0.0,0.0,264229.72416,117435.43296,0.0,0.0,0.0,58717.81310976,411562.93838849297,294127.50542849296,440382.97022976
2008-01-30,157681.793955168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-124775.35285824,0.0,0.0,0.0,14924.110832064,31805.48210112,0.0,0.0,0.0,92969.71776,132114.86208,0.0,0.0,0.0,124775.35285824,0.0,0.0,0.0,0.0,0.0,0.0,92969.71776,132114.86208,0.0,0.0,0.0,31805.48210112,297381.257645472,165266.39556547202,256890.06194112
2008-01-31,228461.224507891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20551.234588416,0.0,0.0,0.0,14434.795722816,-17860.001487552,0.0,0.0,0.0,641001.73824,156580.57728,0.0,0.0,0.0,20551.234588416,0.0,0.0,0.0,0.0,17860.001487552,0.0,641001.73824,156580.57728,0.0,0.0,0.0,0.0,281307.25630667503,124726.67902667503,797582.31552
2008-02-01,292194.517487443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-63610.96420224,0.0,0.0,0.0,13945.480613568,-19572.60436992,0.0,0.0,0.0,73397.1456,144347.71968,0.0,0.0,0.0,63610.96420224,0.0,0.0,0.0,0.0,19572.60436992,0.0,73397.1456,144347.71968,0.0,0.0,0.0,0.0,389323.56667317095,244975.84699317094,217744.86528000003
2008-02-02,308464.244869939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-63610.96420224,0.0,0.0,0.0,13456.16550432,-13945.480613568,0.0,0.0,0.0,31805.42976,-29358.85824,0.0,0.0,0.0,63610.96420224,0.0,0.0,0.0,0.0,13945.480613568,0.0,31805.42976,0.0,0.0,0.0,0.0,0.0,399476.85519006697,399476.85519006697,31805.42976
2008-02-03,147773.162992896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-139454.80613568,0.0,0.0,0.0,12966.850395072,-53824.66201728,0.0,0.0,0.0,-308268.01152,-36698.5728,0.0,0.0,0.0,139454.80613568,308268.01152,0.0,0.0,0.0,53824.66201728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,662287.4930609281,662287.4930609281,0.0
2008-02-04,259483.802434214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61164.388656,0.0,0.0,0.0,12477.535285824,-19083.289260672,0.0,0.0,0.0,88076.57472,63610.85952,0.0,0.0,0.0,61164.388656,0.0,0.0,0.0,0.0,19083.289260672,0.0,88076.57472,63610.85952,0.0,0.0,0.0,0.0,352209.01563671,288598.15611671,151687.43424
2008-02-05,232228.950849101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107649.32403456,0.0,0.0,0.0,11988.220176576,-22508.495025408,0.0,0.0,0.0,557818.3065599999,56271.14496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22508.495025408,107649.32403456,557818.3065599999,56271.14496,0.0,0.0,0.0,0.0,266725.666051085,210454.521091085,721738.7755545599
2008-02-06,233256.512578522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4657554624,0.0,0.0,0.0,396345.23849088,0.0,0.0,0.0,11498.905067328,-15658.083495936,0.0,0.0,0.0,508886.87616,53824.57344,0.0,0.0,24.4657554624,0.0,0.0,0.0,0.0,0.0,15658.083495936,396345.23849088,508886.87616,53824.57344,0.0,0.0,0.0,0.0,260437.9668972484,206613.3934572484,959056.6880908799
2008-02-07,343621.535469408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161473.98605184,0.0,0.0,0.0,10764.932403456,-3669.86331936,0.0,0.0,0.0,665467.45344,102756.00384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3669.86331936,161473.98605184,665467.45344,102756.00384,0.0,0.0,0.0,0.0,358056.331192224,255300.32735222398,929697.44333184
2008-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36698.6331936,0.0,0.0,0.0,10275.617294208,-11498.905067328,0.0,0.0,0.0,753544.02816,110095.7184,0.0,0.0,0.0,36698.6331936,0.0,0.0,0.0,0.0,11498.905067328,0.0,753544.02816,110095.7184,0.0,0.0,0.0,0.0,58473.155555136,-51622.562844864,863639.74656
2008-02-09,207665.332364851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100309.59739584,0.0,0.0,0.0,10030.959739584,-13700.823058944,0.0,0.0,0.0,626322.30912,-19327.915008,0.0,0.0,0.0,100309.59739584,0.0,0.0,0.0,0.0,13700.823058944,0.0,626322.30912,0.0,0.0,0.0,0.0,0.0,331706.71255921904,331706.71255921904,626322.30912
2008-02-10,221072.566358246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-281356.1878176,0.0,0.0,0.0,9786.30218496,-44038.35983232,0.0,0.0,0.0,596963.45088,10764.914688,0.0,0.0,0.0,281356.1878176,0.0,0.0,0.0,0.0,44038.35983232,0.0,596963.45088,10764.914688,0.0,0.0,0.0,0.0,556253.416193126,545488.501505126,607728.365568
2008-02-11,279154.269825984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-391452.0873984,0.0,0.0,0.0,9052.329521088,-83183.56857216,0.0,0.0,0.0,234870.86592,-222638.00832,0.0,0.0,0.0,391452.0873984,0.0,0.0,0.0,0.0,83183.56857216,0.0,234870.86592,0.0,0.0,0.0,0.0,0.0,762842.2553176321,762842.2553176321,234870.86592
