date,INDUST_cmd
1/1/2008,95416.28928
1/2/2008,161473.7203
1/3/2008,232424.2944
1/4/2008,105202.5754
1/5/2008,0
1/6/2008,0
1/7/2008,61164.288
1/8/2008,212851.7222
1/9/2008,178599.721
1/10/2008,149240.8627
1/11/2008,156580.5773
1/12/2008,0
1/13/2008,0
1/14/2008,36698.5728
1/15/2008,119882.0045
1/16/2008,198172.2931
1/17/2008,168813.4349
1/18/2008,48931.4304
1/19/2008,0
1/20/2008,0
1/21/2008,0
1/22/2008,0
1/23/2008,0
1/24/2008,0
1/25/2008,0
1/26/2008,0
1/27/2008,0
1/28/2008,36698.5728
1/29/2008,117435.433
1/30/2008,132114.8621
1/31/2008,156580.5773
2/1/2008,144347.7197
2/2/2008,0
2/3/2008,0
2/4/2008,63610.85952
2/5/2008,56271.14496
2/6/2008,53824.57344
2/7/2008,102756.0038
2/8/2008,110095.7184
2/9/2008,0
2/10/2008,10764.91469
2/11/2008,0
2/12/2008,0
2/13/2008,0
2/14/2008,0
2/15/2008,0
2/16/2008,0
2/17/2008,0
2/18/2008,0
2/19/2008,0
2/20/2008,0
2/21/2008,0
2/22/2008,0
2/23/2008,0
2/24/2008,0
2/25/2008,0
2/26/2008,0
2/27/2008,0
2/28/2008,0
2/29/2008,0
3/1/2008,0
3/2/2008,0
3/3/2008,20306.54362
3/4/2008,11743.5433
3/5/2008,0
3/6/2008,0
3/7/2008,0
3/8/2008,0
3/9/2008,5382.457344
3/10/2008,0
3/11/2008,0
3/12/2008,0
3/13/2008,0
3/14/2008,0
3/15/2008,0
3/16/2008,0
3/17/2008,0
3/18/2008,0
3/19/2008,0
3/20/2008,18104.62925
3/21/2008,0
3/22/2008,0
3/23/2008,0
3/24/2008,0
3/25/2008,0
3/26/2008,0
3/27/2008,0
3/28/2008,61164.288
3/29/2008,11743.5433
3/30/2008,0
3/31/2008,56271.14496
4/1/2008,198172.2931
4/2/2008,205512.0077
4/3/2008,0
4/4/2008,100309.4323
4/5/2008,0
4/6/2008,0
4/7/2008,0
4/8/2008,0
4/9/2008,0
4/10/2008,0
4/11/2008,0
4/12/2008,0
4/13/2008,0
4/14/2008,2030.654362
4/15/2008,114988.8614
4/16/2008,340073.4413
4/17/2008,310714.583
4/18/2008,229977.7229
4/19/2008,0
4/20/2008,0
4/21/2008,58717.71648
4/22/2008,354752.8704
4/23/2008,379218.5856
4/24/2008,291142.0109
4/25/2008,207958.5792
4/26/2008,6850.400256
4/27/2008,2691.228672
4/28/2008,51378.00192
4/29/2008,276462.5818
4/30/2008,310714.583
5/1/2008,335180.2982
5/2/2008,320500.8691
5/3/2008,34252.00128
5/4/2008,0
5/5/2008,53824.57344
5/6/2008,159027.1488
5/7/2008,183492.864
5/8/2008,288695.4394
5/9/2008,244657.152
5/10/2008,29358.85824
5/11/2008,0
5/12/2008,92969.71776
5/13/2008,242210.5805
5/14/2008,386558.3002
5/15/2008,364539.1565
5/16/2008,256890.0096
5/17/2008,0
5/18/2008,0
5/19/2008,44038.28736
5/20/2008,132114.8621
5/21/2008,63610.85952
5/22/2008,166366.8634
5/23/2008,156580.5773
5/24/2008,0
5/25/2008,831.8343168
5/26/2008,46484.85888
5/27/2008,195725.7216
5/28/2008,276462.5818
5/29/2008,291142.0109
5/30/2008,332733.7267
5/31/2008,0
6/1/2008,0
6/2/2008,85630.0032
6/3/2008,119882.0045
6/4/2008,163920.2918
6/5/2008,88076.57472
6/6/2008,134561.4336
6/7/2008,78290.28864
6/8/2008,0
6/9/2008,102756.0038
6/10/2008,254443.4381
6/11/2008,144347.7197
6/12/2008,190832.5786
6/13/2008,146794.2912
6/14/2008,8563.00032
6/15/2008,0
6/16/2008,0
6/17/2008,0
6/18/2008,0
6/19/2008,0
6/20/2008,0
6/21/2008,0
6/22/2008,0
6/23/2008,0
6/24/2008,0
6/25/2008,0
6/26/2008,0
6/27/2008,0
6/28/2008,0
6/29/2008,0
6/30/2008,0
7/1/2008,0
7/2/2008,0
7/3/2008,0
7/4/2008,0
7/5/2008,0
7/6/2008,0
7/7/2008,0
7/8/2008,0
7/9/2008,0
7/10/2008,0
7/11/2008,0
7/12/2008,0
7/13/2008,0
7/14/2008,0
7/15/2008,0
7/16/2008,0
7/17/2008,0
7/18/2008,0
7/19/2008,0
7/20/2008,0
7/21/2008,0
7/22/2008,0
7/23/2008,0
7/24/2008,0
7/25/2008,0
7/26/2008,0
7/27/2008,0
7/28/2008,0
7/29/2008,0
7/30/2008,0
7/31/2008,0
8/1/2008,0
8/2/2008,0
8/3/2008,0
8/4/2008,0
8/5/2008,0
8/6/2008,6116.4288
8/7/2008,0
8/8/2008,0
8/9/2008,0
8/10/2008,0
8/11/2008,0
8/12/2008,0
8/13/2008,0
8/14/2008,0
8/15/2008,0
8/16/2008,0
8/17/2008,0
8/18/2008,0
8/19/2008,0
8/20/2008,0
8/21/2008,0
8/22/2008,0
8/23/2008,0
8/24/2008,0
8/25/2008,0
8/26/2008,0
8/27/2008,0
8/28/2008,0
8/29/2008,0
8/30/2008,0
8/31/2008,0
9/1/2008,0
9/2/2008,0
9/3/2008,0
9/4/2008,0
9/5/2008,0
9/6/2008,0
9/7/2008,0
9/8/2008,0
9/9/2008,0
9/10/2008,0
9/11/2008,0
9/12/2008,0
9/13/2008,8073.686016
9/14/2008,0
9/15/2008,3180.542976
9/16/2008,83183.43168
9/17/2008,39145.14432
9/18/2008,70950.57408
9/19/2008,78290.28864
9/20/2008,97862.8608
9/21/2008,75843.71712
9/22/2008,117435.433
9/23/2008,0
9/24/2008,0
9/25/2008,0
9/26/2008,70950.57408
9/27/2008,24465.7152
9/28/2008,0
9/29/2008,0
9/30/2008,0
10/1/2008,0
10/2/2008,0
10/3/2008,13700.80051
10/4/2008,36698.5728
10/5/2008,34252.00128
10/6/2008,0
10/7/2008,0
10/8/2008,0
10/9/2008,34252.00128
10/10/2008,20795.85792
10/11/2008,0
10/12/2008,23487.08659
10/13/2008,0
10/14/2008,0
10/15/2008,0
10/16/2008,0
10/17/2008,19083.25786
10/18/2008,31805.42976
10/19/2008,17859.9721
10/20/2008,46484.85888
10/21/2008,5871.771648
10/22/2008,46484.85888
10/23/2008,21529.82938
10/24/2008,0
10/25/2008,0
10/26/2008,41591.71584
10/27/2008,10520.25754
10/28/2008,41591.71584
10/29/2008,4648.485888
10/30/2008,31805.42976
10/31/2008,26912.28672
11/1/2008,3425.200128
11/2/2008,44038.28736
11/3/2008,14434.77197
11/4/2008,18838.6007
11/5/2008,24221.05805
11/6/2008,17615.31494
11/7/2008,0
11/8/2008,0
11/9/2008,41591.71584
11/10/2008,17615.31494
11/11/2008,127221.719
11/12/2008,95416.28928
11/13/2008,95416.28928
11/14/2008,124775.1475
11/15/2008,110095.7184
11/16/2008,56271.14496
11/17/2008,247103.7235
11/18/2008,300928.297
11/19/2008,244657.152
11/20/2008,283802.2963
11/21/2008,210405.1507
11/22/2008,6850.400256
11/23/2008,26912.28672
11/24/2008,146794.2912
11/25/2008,249550.295
11/26/2008,396344.5862
11/27/2008,577390.8787
11/28/2008,464848.5888
