date,Netflows_acft
12/30/2007,721.1713225
12/31/2007,604.5430495
1/1/2008,427.9346492
1/2/2008,522.1497538
1/3/2008,233.0981781
1/4/2008,-37.68586621
1/5/2008,215.3655351
1/6/2008,512.4302545
1/7/2008,194.162327
1/8/2008,405.0851851
1/9/2008,240.3774037
1/10/2008,243.491471
1/11/2008,200.093069
1/12/2008,542.5991556
1/13/2008,463.8949061
1/14/2008,633.5018193
1/15/2008,360.8139207
1/16/2008,145.6864319
1/17/2008,171.5707288
1/18/2008,439.4784061
1/19/2008,778.6322518
1/20/2008,1226.362158
1/21/2008,977.5155061
1/22/2008,590.0037801
1/23/2008,621.4220088
1/24/2008,655.2007673
1/25/2008,736.1465514
1/26/2008,681.9178883
1/27/2008,536.410586
1/28/2008,473.5741843
1/29/2008,238.4534045
1/30/2008,133.983847
1/31/2008,101.1177149
2/1/2008,198.6054472
2/2/2008,323.8616396
2/3/2008,536.9260086
2/4/2008,233.9706814
2/5/2008,170.6185111
2/6/2008,167.5044536
2/7/2008,206.9756521
2/8/2008,-41.85115514
2/9/2008,268.919409
2/10/2008,442.235384
2/11/2008,618.4472025
2/12/2008,606.2088413
2/13/2008,3476.929782
2/14/2008,5606.209027
2/15/2008,2949.900872
2/16/2008,1434.348278
2/17/2008,1996.940904
2/18/2008,2516.234162
2/19/2008,2027.566083
2/20/2008,1735.479893
2/21/2008,1562.858292
2/22/2008,2245.291949
2/23/2008,2384.611112
2/24/2008,2152.524999
2/25/2008,2032.187656
2/26/2008,2091.949585
2/27/2008,1715.208671
2/28/2008,1535.446916
2/29/2008,1586.918067
3/1/2008,1729.906396
3/2/2008,1800.280146
3/3/2008,1331.763864
3/4/2008,1395.968711
3/5/2008,1565.793964
3/6/2008,2012.908784
3/7/2008,2866.35799
3/8/2008,3330.332235
3/9/2008,3308.930557
3/10/2008,2568.023661
3/11/2008,2212.168585
3/12/2008,3362.881044
3/13/2008,2382.90603
3/14/2008,2687.23045
3/15/2008,3290.939971
3/16/2008,4063.165706
3/17/2008,3736.388725
3/18/2008,3149.002739
3/19/2008,3142.933609
3/20/2008,3293.717237
3/21/2008,3519.615162
3/22/2008,3643.026916
3/23/2008,4065.368041
3/24/2008,3482.940727
3/25/2008,3331.680997
3/26/2008,3514.358893
3/27/2008,4206.928243
3/28/2008,4003.542924
3/29/2008,4223.510128
3/30/2008,4153.870345
3/31/2008,3941.638758
4/1/2008,3872.237197
4/2/2008,5079.458867
4/3/2008,5040.741186
4/4/2008,4724.040009
4/5/2008,4576.072653
4/6/2008,4966.95588
4/7/2008,9021.811463
4/8/2008,7857.095626
4/9/2008,6172.709097
4/10/2008,6562.896815
4/11/2008,7099.783775
4/12/2008,5920.529562
4/13/2008,5640.781051
4/14/2008,5428.093062
4/15/2008,4751.034751
4/16/2008,3520.964319
4/17/2008,3578.187564
4/18/2008,3730.220741
4/19/2008,3556.626787
4/20/2008,2981.577996
4/21/2008,2516.334406
4/22/2008,2120.671402
4/23/2008,1752.300638
4/24/2008,1663.778074
4/25/2008,1634.422547
4/26/2008,1523.922941
4/27/2008,1515.255154
4/28/2008,808.5235873
4/29/2008,1047.056474
4/30/2008,889.2314916
5/1/2008,697.5089245
5/2/2008,722.8180335
5/3/2008,909.7402442
5/4/2008,921.2641826
5/5/2008,813.9781441
5/6/2008,814.9105173
5/7/2008,1202.54088
5/8/2008,622.5335442
5/9/2008,518.1829167
5/10/2008,1146.666211
5/11/2008,1621.509854
5/12/2008,692.8871069
5/13/2008,1434.784796
5/14/2008,551.3864613
5/15/2008,145.6469844
5/16/2008,314.182629
5/17/2008,613.9843859
5/18/2008,747.254006
5/19/2008,676.8804062
5/20/2008,583.59774
5/21/2008,720.814382
5/22/2008,294.6254543
5/23/2008,252.5559571
5/24/2008,656.6290776
5/25/2008,570.2686194
5/26/2008,559.1017215
5/27/2008,222.3873693
5/28/2008,296.6090753
5/29/2008,-97.82455072
5/30/2008,-187.6361993
5/31/2008,28.76037343
6/1/2008,300.1392902
6/2/2008,408.0998959
6/3/2008,51.84817108
6/4/2008,25.80521582
6/5/2008,107.88127
6/6/2008,345.561025
6/7/2008,109.0911761
6/8/2008,97.19022746
6/9/2008,-55.53718144
6/10/2008,-42.1683184
6/11/2008,571.637408
6/12/2008,86.10286223
6/13/2008,-12.65436846
6/14/2008,485.2370981
6/15/2008,553.7462796
6/16/2008,128.5886213
6/17/2008,801.0656564
6/18/2008,180.0399377
6/19/2008,963.1749889
6/20/2008,1035.512287
6/21/2008,1151.704195
6/22/2008,685.3692964
6/23/2008,2282.462291
6/24/2008,1640.392527
6/25/2008,2333.159483
6/26/2008,4000.009895
6/27/2008,5113.610033
6/28/2008,5216.096352
6/29/2008,2923.363034
6/30/2008,4171.007868
7/1/2008,3574.914418
7/2/2008,4929.984205
7/3/2008,8564.065653
7/4/2008,7020.069964
7/5/2008,6120.6835
7/6/2008,5342.07077
