date,Outflows_acft
1/1/2008,89.65302615
1/2/2008,321.3227928
1/3/2008,1029.423021
1/4/2008,593.0587348
1/5/2008,19.04135069
1/6/2008,0
1/7/2008,150.7440263
1/8/2008,688.2654883
1/9/2008,414.5460722
1/10/2008,420.4964943
1/11/2008,204.2978251
1/12/2008,0
1/13/2008,0
1/14/2008,77.35548715
1/15/2008,109.0910716
1/16/2008,501.8189295
1/17/2008,319.3393187
1/18/2008,142.8101301
1/19/2008,0
1/20/2008,277.6863641
1/21/2008,55.53727282
1/22/2008,206.2812991
1/23/2008,0
1/24/2008,0
1/25/2008,253.8846757
1/26/2008,0
1/27/2008,5.950422089
1/28/2008,54.94223063
1/29/2008,368.9261695
1/30/2008,220.1656173
1/31/2008,656.5299037
2/1/2008,186.4465588
2/2/2008,25.78516238
2/3/2008,0
2/4/2008,138.8431821
2/5/2008,600.9926309
2/6/2008,791.4061378
2/7/2008,767.6044494
2/8/2008,700.1663323
2/9/2008,507.7693515
2/10/2008,492.6949488
2/11/2008,190.4135068
2/12/2008,0
2/13/2008,0
2/14/2008,0
2/15/2008,0
2/16/2008,0
2/17/2008,0
2/18/2008,0
2/19/2008,18.44630848
2/20/2008,347.1079552
2/21/2008,176.5291886
2/22/2008,0
2/23/2008,0
2/24/2008,0
2/25/2008,0
2/26/2008,0
2/27/2008,0
2/28/2008,142.8101301
2/29/2008,222.1490913
3/1/2008,0
3/2/2008,0
3/3/2008,79.9340034
3/4/2008,453.818858
3/5/2008,0
3/6/2008,89.25633134
3/7/2008,0
3/8/2008,0
3/9/2008,4.363642865
3/10/2008,0
3/11/2008,0
3/12/2008,0
3/13/2008,0
3/14/2008,0
3/15/2008,0
3/16/2008,0
3/17/2008,0
3/18/2008,154.7109743
3/19/2008,111.0745457
3/20/2008,14.67770782
3/21/2008,69.42159102
3/22/2008,0
3/23/2008,0
3/24/2008,0
3/25/2008,0
3/26/2008,0
3/27/2008,0
3/28/2008,50.22156243
3/29/2008,9.520675343
3/30/2008,0
3/31/2008,101.1571755
4/1/2008,174.1490198
4/2/2008,432.3973385
4/3/2008,323.3062669
4/4/2008,493.8850334
4/5/2008,259.8350979
4/6/2008,166.6118185
4/7/2008,0
4/8/2008,0
4/9/2008,0
4/10/2008,81.32243522
4/11/2008,188.4300328
4/12/2008,18.84300328
4/13/2008,0
4/14/2008,1.646283445
4/15/2008,93.2232794
4/16/2008,275.7028901
4/17/2008,325.6864357
4/18/2008,505.7858775
4/19/2008,357.0253253
4/20/2008,396.6948058
4/21/2008,759.6705532
4/22/2008,1328.927599
4/23/2008,755.5052579
4/24/2008,912.9930958
4/25/2008,1347.96895
4/26/2008,870.3484041
4/27/2008,480.1990625
4/28/2008,381.0253611
4/29/2008,416.5295462
4/30/2008,1100.828086
5/1/2008,1315.043281
5/2/2008,1394.977285
5/3/2008,1124.629775
5/4/2008,539.504936
5/5/2008,887.3666112
5/6/2008,1127.109117
5/7/2008,1105.052886
5/8/2008,1705.787665
5/9/2008,1396.405386
5/10/2008,1015.538703
5/11/2008,729.9184428
5/12/2008,122.9753898
5/13/2008,238.0168836
5/14/2008,694.2159103
5/15/2008,1806.944841
5/16/2008,1574.878379
5/17/2008,428.4303903
5/18/2008,150.7440263
5/19/2008,404.628702
5/20/2008,1305.125911
5/21/2008,885.026112
5/22/2008,981.8196445
5/23/2008,967.935326
5/24/2008,483.9676631
5/25/2008,0.67438117
5/26/2008,315.3723707
5/27/2008,432.3973384
5/28/2008,523.6371438
5/29/2008,1106.183466
5/30/2008,1396.365717
5/31/2008,658.5133777
6/1/2008,12.09919158
6/2/2008,132.89276
6/3/2008,593.0587348
6/4/2008,599.0091569
6/5/2008,539.5049359
6/6/2008,731.9019168
6/7/2008,634.7116894
6/8/2008,79.33896117
6/9/2008,148.7605522
6/10/2008,271.7359421
6/11/2008,146.7770782
6/12/2008,234.0499355
6/13/2008,184.4630847
6/14/2008,6.942159104
6/15/2008,0
6/16/2008,0
6/17/2008,0
6/18/2008,0
6/19/2008,0
6/20/2008,0
6/21/2008,0
6/22/2008,0
6/23/2008,0
6/24/2008,0
6/25/2008,0
6/26/2008,0
6/27/2008,0
6/28/2008,0
6/29/2008,0
6/30/2008,0
7/1/2008,0
7/2/2008,0
7/3/2008,0
7/4/2008,0
7/5/2008,0
7/6/2008,0
7/7/2008,0
7/8/2008,0
7/9/2008,0
7/10/2008,0
7/11/2008,0
7/12/2008,0
7/13/2008,0
7/14/2008,0
7/15/2008,0
7/16/2008,0
7/17/2008,0
7/18/2008,0
7/19/2008,0
7/20/2008,0
7/21/2008,0
7/22/2008,0
7/23/2008,0
7/24/2008,0
7/25/2008,0
7/26/2008,0
7/27/2008,0
7/28/2008,0
7/29/2008,0
7/30/2008,0
7/31/2008,0
8/1/2008,0
8/2/2008,0
8/3/2008,0
8/4/2008,0
8/5/2008,0
8/6/2008,4.958685074
8/7/2008,0
8/8/2008,0
8/9/2008,0
8/10/2008,0
8/11/2008,0
8/12/2008,0
8/13/2008,0
8/14/2008,0
8/15/2008,0
8/16/2008,0
8/17/2008,0
8/18/2008,0
8/19/2008,0
8/20/2008,0
8/21/2008,0
8/22/2008,0
8/23/2008,0
8/24/2008,59.50422089
8/25/2008,0
8/26/2008,0
8/27/2008,0
8/28/2008,39.6694806
8/29/2008,0
8/30/2008,0
8/31/2008,351.0749033
9/1/2008,73.3885391
9/2/2008,8.925633134
9/3/2008,0
9/4/2008,1549.093217
9/5/2008,5525.958646
9/6/2008,10159.35398
9/7/2008,12517.7046
9/8/2008,13368.61496
9/9/2008,13330.92895
9/10/2008,8854.228067
9/11/2008,2856.202603
9/12/2008,2187.771855
9/13/2008,1041.918908
9/14/2008,777.5218197
9/15/2008,415.1411144
9/16/2008,1610.580912
9/17/2008,4135.543351
9/18/2008,8521.00443
9/19/2008,10193.07304
9/20/2008,12817.20918
9/21/2008,12825.14307
9/22/2008,13650.26827
9/23/2008,13146.46587
9/24/2008,10542.16447
9/25/2008,8368.276929
9/26/2008,9254.889821
9/27/2008,9459.187645
9/28/2008,8657.864138
9/29/2008,5149.09858
9/30/2008,983.8031188
10/1/2008,1366.613606
10/2/2008,420.4964943
10/3/2008,1290.448204
10/4/2008,1941.821075
10/5/2008,3427.443123
10/6/2008,5855.215335
10/7/2008,4907.114749
10/8/2008,4700.83345
10/9/2008,2999.012733
10/10/2008,2946.45067
10/11/2008,2392.06968
10/12/2008,832.2657027
10/13/2008,265.78552
10/14/2008,261.8185719
10/15/2008,491.9015594
10/16/2008,416.5295462
10/17/2008,951.6708395
10/18/2008,511.7362997
10/19/2008,629.3563096
10/20/2008,1021.489125
10/21/2008,1454.679853
10/22/2008,1041.323866
10/23/2008,1336.464801
10/24/2008,1297.192015
10/25/2008,1201.985262
10/26/2008,1061.158606
10/27/2008,1470.349298
10/28/2008,1285.291171
10/29/2008,1602.924702
10/30/2008,1722.369508
10/31/2008,1499.784053
11/1/2008,2049.285698
11/2/2008,1426.078158
11/3/2008,2029.054263
11/4/2008,2529.623604
11/5/2008,2591.448489
11/6/2008,1778.422484
11/7/2008,1571.228787
11/8/2008,2075.388216
11/9/2008,2242.35706
11/10/2008,2427.732543
11/11/2008,2856.658802
11/12/2008,3408.679459
11/13/2008,3076.566567
11/14/2008,3087.217823
11/15/2008,2103.037844
11/16/2008,1664.134711
11/17/2008,3634.974011
11/18/2008,3684.064993
11/19/2008,3956.95135
11/20/2008,4410.333843
11/21/2008,3459.872923
11/22/2008,3321.267758
11/23/2008,2083.659303
11/24/2008,3208.943624
11/25/2008,5801.602032
11/26/2008,5703.003538
11/27/2008,5343.855896
11/28/2008,4649.342464
11/29/2008,4196.832699
11/30/2008,2193.424755
12/1/2008,319.3393188
12/2/2008,2341.372084
12/3/2008,5066.169532
12/4/2008,6437.483972
12/5/2008,5415.122118
12/6/2008,4715.154133
12/7/2008,2720.294962
12/8/2008,4064.931677
12/9/2008,4106.227606
12/10/2008,2577.365824
12/11/2008,2100.498997
12/12/2008,561.3231504
12/13/2008,220.1656173
12/14/2008,918.3484758
12/15/2008,337.1905851
12/16/2008,1641.761124
12/17/2008,2375.150646
12/18/2008,1987.123622
12/19/2008,1877.040813
12/20/2008,2057.893975
12/21/2008,1362.90451
12/22/2008,2487.673128
12/23/2008,3650.683125
12/24/2008,3838.756133
12/25/2008,1939.91694
12/26/2008,2064.518779
12/27/2008,2066.898947
12/28/2008,1547.823794
12/29/2008,2714.245366
12/30/2008,4047.377931
12/31/2008,3995.450581
1/1/2009,4578.27459
1/2/2009,3942.80918
1/3/2009,3216.520495
1/4/2009,2564.116217
1/5/2009,2594.066675
