date,RF_acft
12/30/2007,0
12/31/2007,0
1/1/2008,200.9375
1/2/2008,0
1/3/2008,0
1/4/2008,464.2604167
1/5/2008,265.8333333
1/6/2008,66.48958333
1/7/2008,0
1/8/2008,0
1/9/2008,0
1/10/2008,266.0833333
1/11/2008,0
1/12/2008,2460.5
1/13/2008,1463.6875
1/14/2008,0
1/15/2008,0
1/16/2008,0
1/17/2008,3849.145833
1/18/2008,66.3125
1/19/2008,6503.729167
1/20/2008,3113.260417
1/21/2008,0
1/22/2008,0
1/23/2008,465.3541667
1/24/2008,265.8333333
1/25/2008,0
1/26/2008,0
1/27/2008,0
1/28/2008,0
1/29/2008,0
1/30/2008,0
1/31/2008,0
2/1/2008,0
2/2/2008,0
2/3/2008,0
2/4/2008,66.1875
2/5/2008,66.1875
2/6/2008,0
2/7/2008,0
2/8/2008,2177.65625
2/9/2008,8053.270833
2/10/2008,0
2/11/2008,0
2/12/2008,8707.875
2/13/2008,12000.67708
2/14/2008,0
2/15/2008,0
2/16/2008,0
2/17/2008,0
2/18/2008,0
2/19/2008,132.8333333
2/20/2008,0
2/21/2008,8512
2/22/2008,332.7604167
2/23/2008,598.6875
2/24/2008,265.9583333
2/25/2008,0
2/26/2008,0
2/27/2008,927.2083333
2/28/2008,0
2/29/2008,0
3/1/2008,0
3/2/2008,0
3/3/2008,66.26041667
3/4/2008,66.26041667
3/5/2008,9935.9375
3/6/2008,20064.125
3/7/2008,266.9166667
3/8/2008,7366.46875
3/9/2008,0
3/10/2008,0
3/11/2008,6063.822917
3/12/2008,66.66666667
3/13/2008,0
3/14/2008,66.67708333
3/15/2008,0
3/16/2008,0
3/17/2008,0
3/18/2008,0
3/19/2008,0
3/20/2008,1934.541667
3/21/2008,0
3/22/2008,7401.15625
3/23/2008,10931.1875
3/24/2008,66.95833333
3/25/2008,0
3/26/2008,0
3/27/2008,0
3/28/2008,0
3/29/2008,0
3/30/2008,0
3/31/2008,201.53125
4/1/2008,2483.239583
4/2/2008,1007.34375
4/3/2008,0
4/4/2008,0
4/5/2008,0
4/6/2008,34123.375
4/7/2008,2582.891667
4/8/2008,0
4/9/2008,2797.908333
4/10/2008,0
4/11/2008,0
4/12/2008,0
4/13/2008,749.3177083
4/14/2008,0
4/15/2008,0
4/16/2008,0
4/17/2008,0
4/18/2008,406.75
4/19/2008,0
4/20/2008,4810.25
4/21/2008,0
4/22/2008,0
4/23/2008,0
4/24/2008,67.61458333
4/25/2008,405.5625
4/26/2008,0
4/27/2008,0
4/28/2008,0
4/29/2008,0
4/30/2008,0
5/1/2008,0
5/2/2008,0
5/3/2008,0
5/4/2008,0
5/5/2008,66.44791667
5/6/2008,0
5/7/2008,0
5/8/2008,11742.84375
5/9/2008,863.0104167
5/10/2008,198.78125
5/11/2008,0
5/12/2008,0
5/13/2008,0
5/14/2008,0
5/15/2008,0
5/16/2008,0
5/17/2008,0
5/18/2008,0
5/19/2008,260.535
5/20/2008,6375.594167
5/21/2008,64.91333333
5/22/2008,10463.39
5/23/2008,780.455
5/24/2008,14174.0875
5/25/2008,586.4625
5/26/2008,0
5/27/2008,194.76875
5/28/2008,0
5/29/2008,0
5/30/2008,0
5/31/2008,2771.905417
6/1/2008,0
6/2/2008,7775.661667
6/3/2008,64.2425
6/4/2008,0
6/5/2008,0
6/6/2008,0
6/7/2008,0
6/8/2008,445.9947917
6/9/2008,127.1345833
6/10/2008,2794.458333
6/11/2008,190.360625
6/12/2008,951.071875
6/13/2008,3041.87
6/14/2008,0
6/15/2008,569.4
6/16/2008,1708.63875
6/17/2008,1327.57625
6/18/2008,9869.6
6/19/2008,2847
6/20/2008,3797.95
6/21/2008,2975.824583
6/22/2008,10389.05833
6/23/2008,10595.38458
6/24/2008,0
6/25/2008,32953.10958
6/26/2008,31991.875
6/27/2008,0
6/28/2008,64.36708333
6/29/2008,5737.199583
6/30/2008,6656.460833
7/1/2008,35793.64875
7/2/2008,4447.993333
7/3/2008,4457.116667
7/4/2008,131.4366667
7/5/2008,65.82375
7/6/2008,22704
7/7/2008,6164.15625
7/8/2008,132.7083333
7/9/2008,0
7/10/2008,0
7/11/2008,0
7/12/2008,12154.25
7/13/2008,199.40625
7/14/2008,2063.4375
7/15/2008,1000.625
7/16/2008,3749.666667
7/17/2008,1208.25
7/18/2008,0
7/19/2008,0
7/20/2008,0
7/21/2008,0
7/22/2008,2033.4375
7/23/2008,28468.43125
7/24/2008,5465.833333
7/25/2008,412.375
7/26/2008,68.97291667
7/27/2008,1245.65625
7/28/2008,9318.583333
7/29/2008,139.3541667
7/30/2008,627.703125
7/31/2008,8115.529167
8/1/2008,0
8/2/2008,3154.96875
8/3/2008,211.103125
8/4/2008,14523.64375
8/5/2008,70.59791667
8/6/2008,71.10833333
8/7/2008,785.4916667
8/8/2008,3287.083333
8/9/2008,358.0416667
8/10/2008,1944.225
8/11/2008,4923.766667
8/12/2008,10826.09167
8/13/2008,0
8/14/2008,12885.71667
8/15/2008,363.0416667
8/16/2008,5297.975
8/17/2008,20393.575
8/18/2008,11626.875
8/19/2008,164838.625
8/20/2008,5190.47375
8/21/2008,2966.143542
8/22/2008,18624.4175
8/23/2008,47569.17167
8/24/2008,7863.120417
8/25/2008,7058.3
8/26/2008,10487.73375
8/27/2008,3998.839167
8/28/2008,0
8/29/2008,0
8/30/2008,13449.09417
8/31/2008,12862.69802
9/1/2008,0
9/2/2008,1392.898437
9/3/2008,185.9795833
9/4/2008,93.0525
9/5/2008,62260.21177
9/6/2008,0
9/7/2008,0
9/8/2008,1308.825
9/9/2008,2711.258333
9/10/2008,0
9/11/2008,0
9/12/2008,0
9/13/2008,0
9/14/2008,1402.90625
9/15/2008,0
9/16/2008,0
9/17/2008,467.6979167
9/18/2008,748.2666667
9/19/2008,1402.4375
9/20/2008,0
9/21/2008,467.3229167
9/22/2008,6822.002083
9/23/2008,12988.97083
9/24/2008,2989.333333
9/25/2008,0
9/26/2008,0
9/27/2008,2427.633542
9/28/2008,4386.940833
9/29/2008,16517.86125
9/30/2008,18868.0625
10/1/2008,280.275
10/2/2008,0
10/3/2008,0
10/4/2008,280.15625
10/5/2008,186.7583333
10/6/2008,5042.475
10/7/2008,186.723125
10/8/2008,0
10/9/2008,653.5622917
10/10/2008,23345.3125
10/11/2008,1681.35
10/12/2008,1681.275
10/13/2008,280.175
10/14/2008,747.1
10/15/2008,0
10/16/2008,0
10/17/2008,0
10/18/2008,0
10/19/2008,0
10/20/2008,466.3598958
10/21/2008,93.23166667
10/22/2008,0
10/23/2008,1677.68625
10/24/2008,838.9640625
10/25/2008,17067.13281
10/26/2008,1305.870417
10/27/2008,93.23166667
10/28/2008,93.11072917
10/29/2008,558.4225
10/30/2008,0
10/31/2008,93.01666667
11/1/2008,278.969375
11/2/2008,557.858125
11/3/2008,278.9290625
11/4/2008,0
11/5/2008,0
11/6/2008,185.83625
11/7/2008,0
11/8/2008,0
11/9/2008,0
11/10/2008,0
11/11/2008,185.4958333
11/12/2008,1391.4875
11/13/2008,0
11/14/2008,0
11/15/2008,185.4689583
11/16/2008,92.62697917
11/17/2008,0
11/18/2008,0
