Year,1,2,3,4,5,6,7,8,9,10,11,12
2008,1.09,1.35,1.69,2.12,2.93,2.41,2.81,2.5,2.14,1.64,0.98,1.13
2009,1.31,1.68,2.04,2.12,2.93,3,2.7,2.6,2.46,1.64,1.86,1.91
2010,2.04,1.99,2.2,2.12,2.46,2.41,2.62,2.44,2.02,1.37,0.88,0.86
2011,1.1,1.49,2.19,2.68,2.93,3,2.72,2.36,2.04,1.58,1.06,0.9
2012,1.36,1.81,2.21,2.54,3.05,3,2.79,2.46,2.56,2.21,1.92,1.19
2013,1.4,1.64,1.86,2.16,2.44,2.46,2.22,2.02,1.75,1.37,1.11,1.1
2014,1.4,1.64,1.86,2.16,2.44,2.46,2.22,2.02,1.75,1.37,1.11,1.1
2015,1.4,1.64,1.86,2.16,2.34,2.58,2.36,2.37,2.24,1.37,0.83,0.89
2016,1.4,1.66,1.01,1.88,2.15,3.1,2.35,1.75,1.57,0.14,0.12,-0.12
2017,0.36,0.62,1.86,1.44,2.35,3.29,2.08,2.1,2.26,2.25,1.42,0.02
2018,0.36,0.54,1.86,1.76,2.15,2.74,2.64,2.19,2.02,0.58,0.47,0.31
2019,0.47,1.64,1.19,1.77,2.54,2.83,2.39,2.81,1.02,0.63,0.22,0.35
2020,0.24,0.93,1.02,1.76,2.35,3.09,2.55,2.49,1.62,1.53,0.62,0.49
2021,0.31,0.92,1.35,1.83,2.44,2.5,2.22,2.38,1.75,1.36,1.1,1.08
2022,1.36,0.59,1.83,1.97,2.44,2.46,2.22,1.4,1.75,0.97,0.16,0.02
2023,0.1,0.52,0.76,2.15,2.3,2.46,2.22,2.02,1.75,1.36,1.1,1.08
