date,3A-NW,2A-17,3A-3,3A-4,3A-28
2008-01-01,11.35,12.46,9.51,9.8,9.49
2008-01-02,11.33,12.43,9.49,9.76,9.46
2008-01-03,11.3,12.4,9.46,9.74,9.45
2008-01-04,11.29,12.39,9.45,9.72,9.45
2008-01-05,11.28,12.39,9.44,9.72,9.45
2008-01-06,11.27,12.39,9.43,9.72,9.45
2008-01-07,11.26,12.39,9.42,9.72,9.44
2008-01-08,11.24,12.38,9.42,9.72,9.44
2008-01-09,11.23,12.36,9.41,9.71,9.42
2008-01-10,11.21,12.35,9.4,9.7,9.41
2008-01-11,11.19,12.33,9.38,9.69,9.39
2008-01-12,11.18,12.32,9.38,9.68,9.38
2008-01-13,11.17,12.31,9.38,9.67,9.38
2008-01-14,11.15,12.3,9.38,9.66,9.38
2008-01-15,11.11,12.28,9.36,9.65,9.38
2008-01-16,11.09,12.26,9.35,9.64,9.36
2008-01-17,11.08,12.25,9.33,9.64,9.35
2008-01-18,11.08,12.24,9.33,9.64,9.33
2008-01-19,11.11,12.22,9.32,9.63,9.32
2008-01-20,11.3,12.21,9.33,9.63,9.31
2008-01-21,11.29,12.2,9.32,9.62,9.31
2008-01-22,11.28,12.19,9.32,9.62,9.31
2008-01-23,11.27,12.18,9.32,9.62,9.31
2008-01-24,11.25,12.17,9.31,9.61,9.3
2008-01-25,11.23,12.15,9.3,9.6,9.29
2008-01-26,11.2,12.13,9.28,9.59,9.29
2008-01-27,11.19,12.11,9.28,9.58,9.28
2008-01-28,11.15,12.09,9.27,9.56,9.26
2008-01-29,11.12,12.06,9.24,9.55,9.25
2008-01-30,11.1,12.04,9.24,9.54,9.23
2008-01-31,11.06,12.03,9.23,9.53,9.22
2008-02-01,11.03,12.01,9.22,9.52,9.21
2008-02-02,11.01,11.99,9.21,9.51,9.2
2008-02-03,10.98,11.97,9.19,9.49,9.18
2008-02-04,10.95,11.95,9.18,9.49,9.17
2008-02-05,10.92,11.93,9.17,9.47,9.16
2008-02-06,10.89,11.91,9.15,9.46,9.14
2008-02-07,10.87,11.89,9.13,9.45,9.12
2008-02-08,10.84,11.84,9.11,9.44,9.11
