Date,LOSA_dmd_,LOSA_dmd,"Data from 2008-2016 was imported from the latest LOOPS model, while data from 2017-2023 was replicated from 2012-2016 and 2012-2013"
30-Dec-07,1662.69,1402,
31-Dec-07,1596.99,1462,
1-Jan-08,947.12,618,
2-Jan-08,2937.48,2454,
3-Jan-08,1659.86,1349,
4-Jan-08,1479.63,1204,
5-Jan-08,1641.73,1266,
6-Jan-08,2027.78,1695,
7-Jan-08,1950.04,1505,
8-Jan-08,2652.09,2087,
9-Jan-08,2387.32,1815,
10-Jan-08,2560.49,2008,
11-Jan-08,2450.23,1878,
12-Jan-08,1091.6,242,
13-Jan-08,1532.68,169,
14-Jan-08,3426.25,2296,
15-Jan-08,3354.2,2117,
16-Jan-08,2210.91,1952,
17-Jan-08,699.22,522,
18-Jan-08,300.91,9,
19-Jan-08,142.95,9,
20-Jan-08,33.96,9,
21-Jan-08,1032.14,59,
22-Jan-08,669.89,72,
23-Jan-08,125.76,10,
24-Jan-08,926.7,104,
25-Jan-08,851.91,138,
26-Jan-08,614.32,127,
27-Jan-08,634.02,473,
28-Jan-08,896.15,793,
29-Jan-08,1672.3,946,
30-Jan-08,1946.88,1107,
31-Jan-08,2356.86,1140,
1-Feb-08,2563.89,1602,
2-Feb-08,3101.95,1901,
3-Feb-08,3552.41,2453,
4-Feb-08,3967.69,2837,
5-Feb-08,3872.78,2998,
6-Feb-08,3718.06,3076,
7-Feb-08,3329.61,2671,
8-Feb-08,1950.6,1468,
9-Feb-08,130.2,45,
10-Feb-08,1692,207,
11-Feb-08,1508.63,235,
12-Feb-08,75.46,448,
13-Feb-08,0,0,
14-Feb-08,0.33,19,
15-Feb-08,0.32,81,
16-Feb-08,0.31,100,
17-Feb-08,93.3,148,
18-Feb-08,88.74,130,
19-Feb-08,52.46,120,
20-Feb-08,67.01,125,
21-Feb-08,0,2,
22-Feb-08,98.8,35,
23-Feb-08,80.85,63,
24-Feb-08,175.19,48,
25-Feb-08,320.26,122,
26-Feb-08,230.71,75,
27-Feb-08,87.21,9,
28-Feb-08,120.87,29,
29-Feb-08,368.7,50,
1-Mar-08,959.53,120,
2-Mar-08,1505.33,149,
3-Mar-08,1229.24,135,
4-Mar-08,749.72,379,
5-Mar-08,278.24,6,
6-Mar-08,32.9,0,
7-Mar-08,0,6,
8-Mar-08,0,0,
9-Mar-08,38.48,21,
10-Mar-08,54.28,15,
11-Mar-08,0,0,
12-Mar-08,0.29,22,
13-Mar-08,100.36,28,
14-Mar-08,88.45,13,
15-Mar-08,108.49,99,
16-Mar-08,153.09,122,
17-Mar-08,159.32,169,
18-Mar-08,613.16,705,
19-Mar-08,2004.81,1244,
20-Mar-08,1136.03,184,
21-Mar-08,1958.44,761,
22-Mar-08,118.73,0,
23-Mar-08,0,0,
24-Mar-08,97.94,23,
25-Mar-08,127.48,28,
26-Mar-08,143.91,25,
27-Mar-08,233.66,31,
28-Mar-08,253.33,104,
29-Mar-08,416.28,143,
30-Mar-08,496.11,68,
31-Mar-08,1059.9,58,
1-Apr-08,1153.59,191,
2-Apr-08,555.46,22,
3-Apr-08,1634.48,679,
4-Apr-08,2489.69,1212,
5-Apr-08,2521.2,1025,
6-Apr-08,349.33,0,
7-Apr-08,0,0,
8-Apr-08,0,0,
9-Apr-08,0,16,
10-Apr-08,117.04,37,
11-Apr-08,121.86,81,
12-Apr-08,114.47,86,
13-Apr-08,0.91,16,
14-Apr-08,125.35,94,
15-Apr-08,138.87,119,
16-Apr-08,259.11,196,
17-Apr-08,668.79,727,
18-Apr-08,2240.98,1267,
19-Apr-08,3317.7,1297,
20-Apr-08,1673.62,155,
21-Apr-08,4047.86,2247,
22-Apr-08,4694.29,3192,
23-Apr-08,5148.01,3827,
24-Apr-08,4726.18,3345,
25-Apr-08,6401.38,5005,
26-Apr-08,7250.07,5188,
27-Apr-08,6626.22,5001,
28-Apr-08,5556.12,4000,
29-Apr-08,5232.94,5214,
30-Apr-08,6788.62,6555,
1-May-08,8564.24,6776,
2-May-08,7863.39,6416,
3-May-08,6754.32,5684,
4-May-08,5888.75,4743,
5-May-08,7755.91,5730,
6-May-08,9472.58,7676,
7-May-08,8759.24,6930,
8-May-08,5563.86,2876,
9-May-08,6981.25,4992,
10-May-08,9798.7,7865,
11-May-08,9630.72,7975,
12-May-08,11096.73,9694,
13-May-08,10583.75,8335,
14-May-08,10153.16,8516,
15-May-08,10004.32,7959,
16-May-08,10068.62,8946,
17-May-08,11216.43,9452,
18-May-08,11676.12,10023,
19-May-08,7572.47,6061,
20-May-08,8077.28,6964,
21-May-08,8736.01,8167,
22-May-08,515.46,847,
23-May-08,725.47,445,
24-May-08,1056.59,914,
25-May-08,5747.07,1604,
26-May-08,6354.57,2351,
27-May-08,5865.19,5441,
28-May-08,5186.7,4945,
29-May-08,7316.23,7448,
30-May-08,7144.09,7358,
31-May-08,5965.52,6343,
1-Jun-08,8904.39,3981,
2-Jun-08,3109,1822,
3-Jun-08,5192.72,1413,
4-Jun-08,8541.34,6886,
5-Jun-08,9488.3,7876,
6-Jun-08,10406.6,9801,
7-Jun-08,11274.76,10811,
8-Jun-08,9774.86,9066,
9-Jun-08,213.7,269,
10-Jun-08,458.54,49,
11-Jun-08,3583.08,333,
12-Jun-08,1465.79,252,
13-Jun-08,3720.39,148,
14-Jun-08,3468.96,147,
15-Jun-08,754.76,83,
16-Jun-08,41.84,69,
17-Jun-08,850.68,78,
18-Jun-08,3.32,12,
19-Jun-08,79.1,15,
20-Jun-08,1043.94,164,
21-Jun-08,0,0,
22-Jun-08,0,0,
23-Jun-08,0,0,
24-Jun-08,726.76,261,
25-Jun-08,554.31,187,
26-Jun-08,0,0,
27-Jun-08,72.55,251,
28-Jun-08,469.27,149,
29-Jun-08,1360.57,50,
30-Jun-08,0,0,
1-Jul-08,0,30,
2-Jul-08,0,0,
3-Jul-08,0,17,
4-Jul-08,0,32,
5-Jul-08,0.28,200,
6-Jul-08,0,0,
7-Jul-08,0.3,64,
8-Jul-08,0.26,177,
9-Jul-08,148.75,298,
10-Jul-08,149.64,320,
11-Jul-08,362.64,215,
12-Jul-08,0.22,0,
13-Jul-08,0,88,
14-Jul-08,0,0,
15-Jul-08,0.12,8,
16-Jul-08,0,0,
17-Jul-08,52.96,141,
18-Jul-08,167.35,201,
19-Jul-08,41.75,40,
20-Jul-08,207.64,52,
21-Jul-08,220.46,168,
22-Jul-08,221.39,55,
23-Jul-08,30,75,
24-Jul-08,0,163,
25-Jul-08,0,58,
26-Jul-08,0,158,
27-Jul-08,0,100,
28-Jul-08,0,0,
29-Jul-08,0,0,
30-Jul-08,0,0,
31-Jul-08,0.38,50,
1-Aug-08,68.73,115,
2-Aug-08,80.52,176,
3-Aug-08,0,101,
4-Aug-08,0,0,
5-Aug-08,0.25,0,
6-Aug-08,0,86,
7-Aug-08,0.27,218,
8-Aug-08,0.47,145,
