,date,nu
0,2008-01-01,9.908457346645469e-07
1,2008-01-02,1.0547392922770345e-06
2,2008-01-03,1.2255577223474247e-06
3,2008-01-04,1.2688997727803611e-06
4,2008-01-05,1.2532649147167575e-06
5,2008-01-06,1.2240032603928126e-06
6,2008-01-07,1.1764070104576651e-06
7,2008-01-08,1.1074760244969765e-06
8,2008-01-09,1.0824662190846042e-06
9,2008-01-10,1.0838588581654418e-06
10,2008-01-11,1.0526743250744252e-06
11,2008-01-12,1.0421191425549556e-06
12,2008-01-13,1.0472434080293453e-06
13,2008-01-14,9.925977176624176e-07
14,2008-01-15,1.0307681889245652e-06
15,2008-01-16,1.0526078215663599e-06
16,2008-01-17,1.1191190014969284e-06
17,2008-01-18,1.1299901469531819e-06
18,2008-01-19,1.0926990841345198e-06
19,2008-01-20,1.1002975920958846e-06
20,2008-01-21,1.134101198425016e-06
21,2008-01-22,1.1458168644148783e-06
22,2008-01-23,1.135526957767507e-06
23,2008-01-24,1.1364289192145941e-06
24,2008-01-25,1.0673351211212794e-06
25,2008-01-26,1.0889665084909324e-06
26,2008-01-27,1.0936177615829388e-06
27,2008-01-28,1.0780981532957228e-06
28,2008-01-29,1.0930522748295344e-06
29,2008-01-30,1.07706231332293e-06
30,2008-01-31,1.0527408353442485e-06
31,2008-02-01,1.052541324819123e-06
32,2008-02-02,1.0510137634839894e-06
33,2008-02-03,1.047705260654242e-06
34,2008-02-04,1.0229087446371817e-06
35,2008-02-05,1.0123288466175178e-06
36,2008-02-06,1.0089655745271256e-06
37,2008-02-07,1.0073526399903712e-06
38,2008-02-08,1.0605021614930532e-06
39,2008-02-09,1.0351550870106683e-06
40,2008-02-10,9.764771011084729e-07
41,2008-02-11,9.953869920568478e-07
42,2008-02-12,1.0792048156100416e-06
43,2008-02-13,1.0811458740680405e-06
44,2008-02-14,1.0603002791378365e-06
45,2008-02-15,1.0535394863380975e-06
46,2008-02-16,1.026475015388376e-06
47,2008-02-17,1.0132037562615688e-06
48,2008-02-18,1.0125786965196865e-06
49,2008-02-19,9.906647797408738e-07
50,2008-02-20,9.961167081249585e-07
51,2008-02-21,1.059291794144566e-06
52,2008-02-22,1.0267305152324577e-06
53,2008-02-23,9.936876698636163e-07
54,2008-02-24,9.943547023453707e-07
55,2008-02-25,9.72776364850803e-07
56,2008-02-26,9.90001734182608e-07
57,2008-02-27,9.924767308929967e-07
58,2008-02-28,1.0615125014608847e-06
59,2008-02-29,1.070812374931832e-06
60,2008-03-01,1.0626594265761243e-06
61,2008-03-02,1.0358027547640213e-06
62,2008-03-03,1.0359323666196897e-06
63,2008-03-04,1.049622147067368e-06
64,2008-03-05,1.0324419907365683e-06
65,2008-03-06,1.0236076852795008e-06
66,2008-03-07,9.869369461737188e-07
67,2008-03-08,9.927187282210299e-07
68,2008-03-09,1.0490266476132496e-06
69,2008-03-10,1.0558744624645758e-06
70,2008-03-11,1.0828141091095905e-06
71,2008-03-12,1.044282164489532e-06
72,2008-03-13,9.872967145724384e-07
73,2008-03-14,9.82517135073225e-07
74,2008-03-15,9.91026742907158e-07
75,2008-03-16,9.991664975517763e-07
76,2008-03-17,9.352196575346904e-07
77,2008-03-18,9.596279132834503e-07
78,2008-03-19,9.885575714711986e-07
79,2008-03-20,1.0196150465102746e-06
80,2008-03-21,9.88798029187294e-07
81,2008-03-22,1.0394417828430552e-06
82,2008-03-23,1.0486299500059532e-06
83,2008-03-24,1.0003293672417943e-06
84,2008-03-25,1.004570826861965e-06
85,2008-03-26,1.0367754806336073e-06
86,2008-03-27,1.0248804592286263e-06
87,2008-03-28,1.0105826759657385e-06
88,2008-03-29,9.797857563684006e-07
89,2008-03-30,9.783064462461172e-07
90,2008-03-31,9.567133089040187e-07
91,2008-04-01,9.640556402570642e-07
92,2008-04-02,9.63305790366327e-07
93,2008-04-03,9.248717584359536e-07
94,2008-04-04,9.318224925137328e-07
95,2008-04-05,9.400205051803002e-07
96,2008-04-06,9.443586599434275e-07
97,2008-04-07,9.304038059810125e-07
98,2008-04-08,9.307854164805744e-07
99,2008-04-09,9.160347162780958e-07
100,2008-04-10,9.017101201035184e-07
101,2008-04-11,8.932782007746008e-07
102,2008-04-12,8.904281890389491e-07
103,2008-04-13,9.101137439858476e-07
104,2008-04-14,9.038382279487688e-07
105,2008-04-15,9.602584333158108e-07
106,2008-04-16,1.0045091494954754e-06
107,2008-04-17,1.0357379586283188e-06
108,2008-04-18,1.0057438578005627e-06
109,2008-04-19,9.79963516121365e-07
110,2008-04-20,1.0021084857414622e-06
111,2008-04-21,9.405748777369373e-07
112,2008-04-22,9.37477178000573e-07
113,2008-04-23,9.386368811057195e-07
114,2008-04-24,9.55688036522278e-07
115,2008-04-25,9.289886069943267e-07
116,2008-04-26,9.131722103238968e-07
117,2008-04-27,9.166727992354466e-07
118,2008-04-28,9.278480996876746e-07
119,2008-04-29,9.343410559687046e-07
120,2008-04-30,9.216424034057112e-07
121,2008-05-01,9.204093143196406e-07
122,2008-05-02,9.294780896259273e-07
123,2008-05-03,9.296957712756695e-07
124,2008-05-04,9.064444956918685e-07
125,2008-05-05,8.916478186068728e-07
126,2008-05-06,8.962968909351161e-07
127,2008-05-07,8.892619082141185e-07
128,2008-05-08,9.054526837895055e-07
129,2008-05-09,9.049834906075376e-07
130,2008-05-10,8.84520965806416e-07
131,2008-05-11,8.724528710343473e-07
132,2008-05-12,8.561521951770075e-07
133,2008-05-13,8.564380919817055e-07
134,2008-05-14,8.727476333887933e-07
135,2008-05-15,8.69611790051494e-07
136,2008-05-16,8.823658557626564e-07
137,2008-05-17,8.96450824433774e-07
138,2008-05-18,8.899715236985809e-07
139,2008-05-19,8.951693506895317e-07
140,2008-05-20,8.972725258790112e-07
141,2008-05-21,8.688306785264273e-07
142,2008-05-22,8.926152767649679e-07
143,2008-05-23,8.661057129686456e-07
144,2008-05-24,8.600248858286373e-07
145,2008-05-25,8.469908231975675e-07
146,2008-05-26,8.329962435958877e-07
147,2008-05-27,8.521658116934335e-07
148,2008-05-28,8.436775735973762e-07
149,2008-05-29,8.408014478464666e-07
150,2008-05-30,8.356459574432961e-07
151,2008-05-31,8.316764868345131e-07
152,2008-06-01,8.119298129093384e-07
153,2008-06-02,8.270163478819441e-07
154,2008-06-03,8.251731016286919e-07
155,2008-06-04,7.974116159004197e-07
156,2008-06-05,7.988572077328609e-07
157,2008-06-06,8.010335738371829e-07
158,2008-06-07,7.992405754614756e-07
159,2008-06-08,8.055878637186855e-07
160,2008-06-09,8.29590016082665e-07
161,2008-06-10,8.384474878234272e-07
162,2008-06-11,8.402004031327367e-07
163,2008-06-12,8.237390906027429e-07
164,2008-06-13,8.344107738694798e-07
165,2008-06-14,8.270163478819441e-07
166,2008-06-15,8.194611959552329e-07
167,2008-06-16,8.198163109194932e-07
168,2008-06-17,8.241867850332097e-07
169,2008-06-18,8.66494146037693e-07
170,2008-06-19,8.798207908978945e-07
171,2008-06-20,8.675151257770254e-07
172,2008-06-21,8.593055834392962e-07
173,2008-06-22,8.60312879801564e-07
174,2008-06-23,8.61033548292138e-07
175,2008-06-24,8.445155635561763e-07
176,2008-06-25,8.624296153870534e-07
177,2008-06-26,8.915460796013501e-07
178,2008-06-27,8.651358626717341e-07
179,2008-06-28,8.308136542732011e-07
180,2008-06-29,8.258916245758458e-07
181,2008-06-30,8.110562787058811e-07
182,2008-07-01,8.336802082423802e-07
183,2008-07-02,8.70345115099615e-07
184,2008-07-03,8.606971147381315e-07
185,2008-07-04,8.390465021951219e-07
186,2008-07-05,8.077506982974249e-07
187,2008-07-06,8.221306486536993e-07
188,2008-07-07,8.176009249521937e-07
189,2008-07-08,8.084882065116678e-07
190,2008-07-09,7.990275565869416e-07
191,2008-07-10,7.81539278881368e-07
192,2008-07-11,7.739155373480009e-07
193,2008-07-12,8.061492970540196e-07
194,2008-07-13,8.148233202671228e-07
195,2008-07-14,8.377111898024152e-07
196,2008-07-15,8.409865248065685e-07
197,2008-07-16,8.678558852107602e-07
198,2008-07-17,8.488667341192716e-07
199,2008-07-18,8.111435635762438e-07
200,2008-07-19,7.682465346194586e-07
201,2008-07-20,7.630396632949098e-07
202,2008-07-21,7.531054455475224e-07
203,2008-07-22,7.775695981714116e-07
204,2008-07-23,7.719377919647214e-07
205,2008-07-24,8.033914249977113e-07
206,2008-07-25,7.664514370697696e-07
207,2008-07-26,7.38404762556982e-07
208,2008-07-27,7.31449422546682e-07
209,2008-07-28,7.483698988354212e-07
210,2008-07-29,7.535313152009611e-07
211,2008-07-30,7.459249355581353e-07
212,2008-07-31,7.357886535230338e-07
213,2008-08-01,7.105384597607826e-07
214,2008-08-02,7.01822233814117e-07
215,2008-08-03,7.226771724381332e-07
216,2008-08-04,7.66013669510783e-07
217,2008-08-05,7.697677086843541e-07
218,2008-08-06,7.495204506773627e-07
